Sdate,Cosit,Study,Period,LaneNumber,LaneDescription,LaneDirection,DirectionDescription,Volume,Flags,Flag Text,Setup,#Bins,Bins,,,,,,,,,,,,,,,,
3/2/2019 9:00,000052525000,2,60,3,Southbound Lane 1,2,South,530,8192,Checked,32738,16,0,0,0,0,1,0,2,17,94,261,132,19,3,0,1,0,
3/2/2019 9:00,000052525000,2,60,4,Southbound Lane 2,2,South,390,8192,Checked,32738,16,0,0,0,0,0,1,0,0,3,56,176,122,29,3,0,0,
3/2/2019 10:00,000052525000,2,60,1,Northbound Lane 1,1,North,466,8192,Checked,32738,16,0,0,0,0,1,0,2,18,95,229,96,20,5,0,0,0,
3/2/2019 10:00,000052525000,2,60,2,Northbound Lane 2,1,North,232,8192,Checked,32738,16,0,0,0,0,0,0,0,0,6,34,109,66,13,3,1,0,
3/2/2019 10:00,000052525000,2,60,3,Southbound Lane 1,2,South,568,8192,Checked,32738,16,0,0,0,0,0,0,2,13,104,274,141,30,4,0,0,0,
3/2/2019 10:00,000052525000,2,60,4,Southbound Lane 2,2,South,411,8192,Checked,32738,16,0,0,0,0,0,0,0,0,2,53,227,110,17,2,0,0,
3/2/2019 11:00,000052525000,2,60,1,Northbound Lane 1,1,North,512,8192,Checked,32738,16,0,0,0,1,0,1,3,28,118,248,95,17,1,0,0,0,
3/2/2019 11:00,000052525000,2,60,2,Northbound Lane 2,1,North,319,8192,Checked,32738,16,0,0,0,0,0,0,1,4,32,74,135,58,13,2,0,0,
3/2/2019 11:00,000052525000,2,60,3,Southbound Lane 1,2,South,552,8192,Checked,32738,16,1,0,0,0,0,0,3,21,126,264,110,26,1,0,0,0,
3/2/2019 11:00,000052525000,2,60,4,Southbound Lane 2,2,South,420,8192,Checked,32738,16,1,0,0,0,0,0,0,0,8,69,202,112,26,2,0,0,
3/2/2019 12:00,000052525000,2,60,1,Northbound Lane 1,1,North,576,8192,Checked,32738,16,0,0,0,0,0,0,3,14,128,238,146,33,11,2,1,0,
3/2/2019 12:00,000052525000,2,60,2,Northbound Lane 2,1,North,423,8192,Checked,32738,16,0,0,0,0,0,0,0,0,0,65,170,153,29,4,2,0,
3/2/2019 12:00,000052525000,2,60,3,Southbound Lane 1,2,South,552,8192,Checked,32738,16,2,0,0,0,0,0,0,13,132,266,122,14,3,0,0,0,
3/2/2019 12:00,000052525000,2,60,4,Southbound Lane 2,2,South,409,8192,Checked,32738,16,0,0,0,0,0,0,0,1,3,67,216,106,13,3,0,0,
3/2/2019 13:00,000052525000,2,60,1,Northbound Lane 1,1,North,602,8192,Checked,32738,16,0,0,0,0,0,0,0,15,120,296,130,33,7,1,0,0,
3/2/2019 13:00,000052525000,2,60,2,Northbound Lane 2,1,North,438,8192,Checked,32738,16,0,0,0,0,0,0,0,0,1,68,221,110,29,7,2,0,
3/2/2019 13:00,000052525000,2,60,3,Southbound Lane 1,2,South,593,8192,Checked,32738,16,0,0,0,0,3,0,4,27,134,274,125,21,5,0,0,0,
3/2/2019 13:00,000052525000,2,60,4,Southbound Lane 2,2,South,393,8192,Checked,32738,16,0,0,0,0,0,0,0,0,5,89,187,92,16,4,0,0,
3/2/2019 14:00,000052525000,2,60,1,Northbound Lane 1,1,North,659,8192,Checked,32738,16,0,0,0,0,0,1,0,26,151,327,130,22,2,0,0,0,
3/2/2019 14:00,000052525000,2,60,2,Northbound Lane 2,1,North,526,8192,Checked,32738,16,0,0,0,0,0,0,0,0,8,107,266,125,16,3,1,0,
3/2/2019 14:00,000052525000,2,60,3,Southbound Lane 1,2,South,555,8192,Checked,32738,16,1,0,0,0,1,0,4,24,145,260,102,17,1,0,0,0,
3/2/2019 14:00,000052525000,2,60,4,Southbound Lane 2,2,South,405,8192,Checked,32738,16,0,0,0,0,0,0,0,2,14,98,190,78,19,2,2,0,
3/2/2019 15:00,000052525000,2,60,1,Northbound Lane 1,1,North,638,8192,Checked,32738,16,0,0,0,0,0,0,2,20,132,269,174,34,5,2,0,0,
3/2/2019 15:00,000052525000,2,60,2,Northbound Lane 2,1,North,547,8192,Checked,32738,16,0,0,0,0,0,0,0,0,1,94,290,132,25,4,1,0,
3/2/2019 15:00,000052525000,2,60,3,Southbound Lane 1,2,South,572,8192,Checked,32738,16,0,0,0,0,2,4,7,13,147,272,111,11,5,0,0,0,
3/2/2019 15:00,000052525000,2,60,4,Southbound Lane 2,2,South,376,8192,Checked,32738,16,0,0,0,0,0,0,0,0,5,65,215,82,7,2,0,0,
3/2/2019 16:00,000052525000,2,60,1,Northbound Lane 1,1,North,648,8192,Checked,32738,16,0,0,0,0,0,1,2,17,125,307,157,32,5,1,1,0,
